,SK_Pedidos,en_destino,en_origem,SK_Localizacoes
114231,93286,,19320.0,19320.0
114232,93287,,,
114233,93288,,,
114234,93289,,,
114235,93290,,,
114236,93291,,,
114237,93292,,,
114238,93293,,,
114239,93294,,,
114240,93295,,,
114241,93296,,19886.0,19886.0
114242,93297,,,
114243,93298,,,
114244,93299,,19128.0,19128.0
114245,93300,,19128.0,19128.0
114246,93301,,,
114247,93302,,,
114248,93303,,,
114249,93304,,,
114250,93305,,,
114251,93306,,,
114252,93307,,20155.0,20155.0
114253,93308,,23121.0,23121.0
114254,93308,,23122.0,23122.0
114255,93309,,,
114256,93310,,,
114257,93311,,,
114258,93312,,2066.0,2066.0
114259,93313,,19116.0,19116.0
114260,93314,,,
114261,93315,,13310.0,13310.0
114262,93316,,18948.0,18948.0
114263,93317,,21915.0,21915.0
114264,93318,,,
114265,93319,,,
114266,93320,,,
114267,93321,,21020.0,21020.0
114268,93321,,21021.0,21021.0
114269,93322,,,
114270,93323,,,
114271,93324,,,
114272,93325,,20620.0,20620.0
114273,93325,,20621.0,20621.0
114274,93326,,,
114275,93327,,,
114276,93328,,19170.0,19170.0
114277,93329,,,
114278,93330,,23470.0,23470.0
114279,93330,,23471.0,23471.0
114280,93331,,,
114281,93332,,13476.0,13476.0
114282,93332,,13477.0,13477.0
114283,93333,,,
114284,93334,,24518.0,24518.0
114285,93334,,24519.0,24519.0
114286,93335,,,
114287,93336,,,
114288,93337,,,
114289,93338,,,
114290,93339,,20674.0,20674.0
114291,93339,,20675.0,20675.0
114292,93340,,,
114293,93341,,,
114294,93342,,2261.0,2261.0
114295,93342,,2262.0,2262.0
114296,93343,,,
114297,93344,,,
114298,93345,,,
114299,93346,,,
114300,93347,,,
114301,93348,,,
114302,93349,,,
114303,93350,,,
114304,93351,,,
114305,93352,,,
114306,93353,,,
114307,93354,,,
114308,93355,,,
114309,93356,,2584.0,2584.0
114310,93356,,2585.0,2585.0
114311,93357,,20371.0,20371.0
114312,93358,,2563.0,2563.0
114313,93358,,2564.0,2564.0
114314,93359,,2563.0,2563.0
114315,93359,,2564.0,2564.0
114316,93360,,2563.0,2563.0
114317,93360,,2564.0,2564.0
114318,93361,,2563.0,2563.0
114319,93361,,2564.0,2564.0
114320,93362,,,
114321,93363,,,
114322,93364,,24402.0,24402.0
114323,93364,,24403.0,24403.0
114324,93365,,,
114325,93366,,,
114326,93367,,,
114327,93368,,,
114328,93369,,,
114329,93370,,,
114330,93371,,2066.0,2066.0
114331,93372,,1279.0,1279.0
114332,93373,,24518.0,24518.0
114333,93373,,24519.0,24519.0
114334,93374,,18498.0,18498.0
114335,93375,,,
114336,93376,,,
114337,93377,,,
114338,93378,,11720.0,11720.0
114339,93378,,11721.0,11721.0
114340,93379,,,
114341,93380,,,
114342,93381,,3610.0,3610.0
114343,93382,,25238.0,25238.0
114344,93382,,25239.0,25239.0
114345,93383,,,
114346,93384,,25747.0,25747.0
114347,93384,,25748.0,25748.0
114348,93385,,20674.0,20674.0
114349,93385,,20675.0,20675.0
114350,93386,,,
114351,93387,,,
114352,93388,,,
114353,93389,,19170.0,19170.0
114354,93390,,,
114355,93391,,,
114356,93392,,25381.0,25381.0
114357,93392,,25382.0,25382.0
114358,93393,,19116.0,19116.0
114359,93394,,23470.0,23470.0
114360,93394,,23471.0,23471.0
114361,93395,,,
114362,93396,,,
114363,93397,,20974.0,20974.0
114364,93397,,20975.0,20975.0
114365,93398,,,
114366,93399,,,
114367,93400,,2351.0,2351.0
114368,93401,,3685.0,3685.0
114369,93402,,,
114370,93403,,,
114371,93404,,21320.0,21320.0
114372,93405,,21320.0,21320.0
114373,93406,,18504.0,18504.0
114374,93407,,21320.0,21320.0
114375,93408,,21320.0,21320.0
114376,93409,,,
114377,93410,,,
114378,93411,,,
114379,93412,,,
114380,93413,,,
114381,93414,,20674.0,20674.0
114382,93414,,20675.0,20675.0
114383,93415,,,
114384,93416,,,
114385,93417,,,
114386,93418,,,
114387,93419,,,
114388,93420,,18498.0,18498.0
114389,93421,,4339.0,4339.0
114390,93421,,4340.0,4340.0
114391,93422,,,
114392,93423,,,
114393,93424,,23470.0,23470.0
114394,93424,,23471.0,23471.0
114395,93425,,,
114396,93426,,,
114397,93427,,,
114398,93428,,18498.0,18498.0
114399,93429,,,
114400,93430,,,
114401,93431,,,
114402,93432,,,
114403,93433,,17468.0,17468.0
114404,93433,,17469.0,17469.0
114405,93434,,,
114406,93435,,18388.0,18388.0
114407,93436,,,
114408,93437,,19174.0,19174.0
114409,93438,,11037.0,11037.0
114410,93439,,,
114411,93440,,,
114412,93441,,,
114413,93442,,16921.0,16921.0
114414,93443,,,
114415,93444,,25381.0,25381.0
